Bin 1 (Ocupação: 100.00%):
  Retângulo 273: (15x15) @ (0,0) 
  Retângulo 265: (15x15) @ (15,0) 
  Retângulo 249: (15x14) @ (14,0) 
  Retângulo 264: (15x14) @ (0,15) 
  Retângulo 305: (15x11) @ (15,28) (rotated)
  Retângulo 245: (11x15) @ (0,11) 
  Retângulo 311: (15x10) @ (15,30) (rotated)
  Retângulo 312: (10x15) @ (30,0) 
  Retângulo 129: (10x10) @ (30,30) 

Bin 2 (Ocupação: 100.00%):
  Retângulo 256: (14x15) @ (14,0) 
  Retângulo 268: (14x15) @ (0,0) (rotated)
  Retângulo 255: (14x15) @ (0,0) (rotated)
  Retângulo 271: (14x15) @ (14,14) (rotated)
  Retângulo 289: (12x15) @ (28,0) (rotated)
  Retângulo 369: (12x15) @ (28,15) 
  Retângulo 313: (15x10) @ (0,30) (rotated)
  Retângulo 356: (15x10) @ (15,30) (rotated)
  Retângulo 336: (10x10) @ (30,30) 

Bin 3 (Ocupação: 100.00%):
  Retângulo 251: (14x15) @ (0,15) 
  Retângulo 266: (14x15) @ (14,0) (rotated)
  Retângulo 252: (14x15) @ (0,0) 
  Retângulo 258: (14x15) @ (15,15) (rotated)
  Retângulo 370: (12x15) @ (28,0) 
  Retângulo 291: (15x11) @ (0,0) 
  Retângulo 368: (15x11) @ (0,27) (rotated)
  Retângulo 306: (14x10) @ (14,30) (rotated)
  Retângulo 108: (10x11) @ (30,29) 

Bin 4 (Ocupação: 100.00%):
  Retângulo 253: (14x15) @ (14,15) 
  Retângulo 387: (14x15) @ (15,0) 
  Retângulo 248: (14x15) @ (14,15) 
  Retângulo 257: (14x15) @ (0,15) (rotated)
  Retângulo 244: (12x15) @ (28,15) 
  Retângulo 235: (12x15) @ (28,0) 
  Retângulo 287: (10x14) @ (30,0) (rotated)
  Retângulo 367: (14x10) @ (0,30) (rotated)
  Retângulo 529: (10x12) @ (30,28) (rotated)

Bin 5 (Ocupação: 99.94%):
  Retângulo 250: (15x14) @ (0,0) 
  Retângulo 254: (14x15) @ (14,15) 
